Lambda: 100.0	Ts: 0.0085	Simulation Time: 100.0

IAT   	Ts     	Arr   	Dep   	Tq     	Tw     	q 	w 	n 
0.0317	0.0025	2.4924	2.5061	0.0136	0.0111	1	1	2
0.0317	0.0208	2.5001	2.5269	0.0268	0.0059	2	0	1
0.0017	4.0E-4	2.5319	2.5323	4.0E-4	0.0	0	0	1
0.0155	0.0018	2.5336	2.5355	0.0018	0.0	0	0	1
0.0144	0.0043	2.5492	2.5535	0.0043	0.0	0	0	1
0.0135	0.0113	2.5636	2.575	0.0113	0.0	1	0	2
0.0066	0.0065	2.5643	2.5815	0.0172	0.0107	1	1	3
0.0158	0.0115	2.5779	2.5931	0.0152	0.0036	1	0	4
0.0158	0.0069	2.5784	2.6001	0.0216	0.0146	2	1	3
0.0182	0.0078	2.585	2.6079	0.0228	0.015	2	1	3
0.0182	0.0111	2.5851	2.619	0.0339	0.0228	3	2	2
0.0029	0.0010	2.6009	2.6201	0.0191	0.0181	1	1	2
0.0081	0.0198	2.6192	2.6399	0.0207	8.0E-4	2	0	4
0.0211	0.0063	2.6221	2.6463	0.0241	0.0178	2	1	4
0.0211	0.0046	2.6281	2.6509	0.0227	0.0181	2	1	3
0.0039	0.0118	2.6334	2.6628	0.0294	0.0175	2	1	3
0.0125	0.0185	2.6415	2.6813	0.0397	0.0212	3	2	6
0.0125	8.0E-4	2.6627	2.6822	0.0194	0.0186	1	1	5
0.0148	0.0111	2.6666	2.6934	0.0267	0.0155	2	1	5
0.0094	0.0164	2.6697	2.7098	0.04	0.0236	4	2	6
0.0094	0.0037	2.6723	2.7136	0.0412	0.0375	4	3	5
0.0094	2.0E-4	2.6743	2.7138	0.0394	0.0392	3	3	4
0.0067	0.0018	2.6869	2.7157	0.0287	0.0269	2	2	5
0.0067	0.0057	2.7018	2.7214	0.0196	0.0138	1	1	4
0.0125	0.0056	2.705	2.727	0.022	0.0164	2	1	4
0.0055	0.0086	2.7144	2.7356	0.0211	0.0125	2	1	4
0.0027	0.0199	2.7152	2.7555	0.0402	0.0203	4	2	6
0.014	0.0343	2.722	2.7899	0.0678	0.0335	6	3	9
0.0062	0.0045	2.7345	2.7944	0.0599	0.0553	5	5	9
0.0062	0.0011	2.74	2.7956	0.0555	0.0543	5	5	8
0.0141	0.0163	2.7451	2.8119	0.0668	0.0505	6	5	9
0.0141	0.0012	2.7541	2.8132	0.0591	0.0578	5	5	8
0.0164	0.0112	2.7569	2.8245	0.0676	0.0563	6	5	9
0.0164	0.0076	2.7624	2.8321	0.0696	0.062	6	6	8
0.0164	0.0066	2.7642	2.8387	0.0744	0.0678	7	6	7
0.0197	0.0178	2.7799	2.8566	0.0767	0.0588	7	5	9
0.0045	0.0249	2.7939	2.8816	0.0876	0.0626	8	6	11
0.0028	0.0031	2.8002	2.8847	0.0844	0.0813	8	8	11
0.0126	0.0096	2.8056	2.8944	0.0887	0.079	8	7	14
0.0126	0.0016	2.8198	2.896	0.0762	0.0745	7	7	13
0.0060	0.0121	2.8236	2.9081	0.0845	0.0724	8	7	14
0.0192	0.0198	2.84	2.9279	0.0879	0.0681	8	6	15
0.0192	0.0082	2.8437	2.9362	0.0924	0.0842	9	8	14
0.0019	0.0045	2.8485	2.9407	0.0922	0.0877	9	8	14
0.0021	0.0059	2.8682	2.9467	0.0785	0.0725	7	7	16
0.0137	0.0086	2.8689	2.9554	0.0864	0.0777	8	7	16
0.0137	7.0E-4	2.8776	2.9561	0.0785	0.0777	7	7	15
2.0E-4	0.0117	2.8821	2.9679	0.0857	0.0739	8	7	17
0.0212	0.0113	2.885	2.9792	0.0942	0.0828	9	8	17
0.0212	0.0036	2.8862	2.9829	0.0966	0.0929	9	9	16
0.0212	0.0039	2.8895	2.9868	0.0973	0.0934	9	9	15
0.0024	0.0053	2.8916	2.9921	0.1005	0.0951	10	9	16
0.0038	0.0038	2.9043	2.996	0.0917	0.0878	9	8	16
0.0038	4.0E-4	2.9053	2.9964	0.0911	0.0907	9	9	15
0.0262	0.0043	2.9113	3.0008	0.0894	0.085	8	8	15
0.0262	0.0022	2.9202	3.003	0.0828	0.0806	8	8	14
0.0262	0.0166	2.9394	3.0197	0.0802	0.0635	8	6	13
0.0262	7.0E-4	2.9414	3.0204	0.079	0.0783	7	7	12
0.0262	0.0011	2.9427	3.0216	0.0788	0.0777	7	7	11
0.0262	3.0E-4	2.9466	3.0219	0.0752	0.0749	7	7	10
0.0702	0.0213	2.9488	3.0432	0.0944	0.073	9	7	14
0.0702	8.0E-4	2.9625	3.0441	0.0815	0.0806	8	8	13
0.0702	0.0095	2.9657	3.0536	0.0878	0.0783	8	7	12
0.0702	0.0247	2.9676	3.0783	0.1107	0.0859	11	8	11
0.0702	0.0079	2.9679	3.0863	0.1184	0.1104	11	11	10
0.0702	0.0063	2.9892	3.0927	0.1034	0.0971	10	9	9
0.0702	0.0061	2.9915	3.0988	0.1072	0.1011	10	10	8
0.0702	0.0095	2.994	3.1084	0.1143	0.1047	11	10	7
0.0096	0.0070	2.9979	3.1155	0.1175	0.1105	11	11	8
0.0096	0.0066	3.0241	3.1222	0.098	0.0913	9	9	7
0.0362	0.0114	3.0326	3.1336	0.101	0.0895	10	8	7
0.0362	0.0119	3.0336	3.1456	0.1119	0.1	11	10	6
0.0241	0.02	3.0364	3.1657	0.1292	0.1092	12	10	7
0.0241	0.0025	3.0425	3.1682	0.1256	0.1231	12	12	6
0.0241	0.0019	3.1128	3.1702	0.0573	0.0553	5	5	5
0.0248	0.0209	3.1148	3.1911	0.0762	0.0553	7	5	6
0.0248	0.0024	3.1245	3.1936	0.069	0.0665	6	6	5
0.0248	0.0010	3.1607	3.1946	0.0338	0.0328	3	3	4
0.0248	0.0051	3.1613	3.1997	0.0384	0.0332	3	3	3
0.0248	0.0041	3.1855	3.2039	0.0183	0.0142	1	1	2
0.0248	0.0091	3.1889	3.213	0.0241	0.0149	2	1	1
0.0066	0.039	3.2138	3.2529	0.039	0.0	3	0	6
0.0199	0.0056	3.2324	3.2585	0.026	0.0204	2	2	7
