Lambda: 5.0	Ts: 0.15	Simulation Time: 1000.0

IAT   	Ts     	Arr   	Dep   	Tq     	Tw     	q 	w 	n 
0.0596	0.2718	42.1127	42.6106	0.4978	0.2259	2	1	6
0.0596	0.0224	42.1596	42.633	0.4734	0.4509	2	2	5
0.4112	0.1065	42.251	42.7396	0.4885	0.382	2	1	6
0.4112	0.1414	42.3518	42.881	0.5291	0.3877	2	1	5
0.4112	0.0764	42.5193	42.9575	0.4381	0.3616	2	1	4
0.1951	0.1696	42.5746	43.1272	0.5525	0.3828	2	1	5
0.1951	0.0285	42.6343	43.1557	0.5214	0.4928	2	2	4
0.1951	0.0588	42.6515	43.2146	0.563	0.5042	2	2	3
0.1951	0.0609	43.0628	43.2756	0.2127	0.1517	1	0	2
0.3879	0.3016	43.1143	43.5772	0.4628	0.1612	2	0	3
0.3879	0.0014	43.3095	43.5786	0.2691	0.2677	1	1	2
0.3879	0.0287	43.3263	43.6074	0.281	0.2523	1	1	1
0.2033	0.0848	43.7143	43.7991	0.0848	0.0	0	0	2
0.2033	0.0409	43.7354	43.84	0.1046	0.0637	0	0	1
0.5729	0.2794	43.9387	44.2182	0.2794	0.0	1	0	2
0.5729	0.1331	44.1325	44.3513	0.2187	0.0856	1	0	1
0.0669	0.1402	44.7055	44.8458	0.1402	0.0	0	0	2
0.0909	0.0652	44.7974	44.911	0.1136	0.0484	0	0	3
0.1132	0.0539	44.8643	44.965	0.1006	0.0467	0	0	3
0.1132	0.0549	44.8731	45.0199	0.1467	0.0918	0	0	2
0.2943	0.1296	44.9641	45.1495	0.1854	0.0557	0	0	2
0.4079	0.3196	45.0774	45.4692	0.3918	0.0721	1	0	2
0.4079	0.172	45.3717	45.6412	0.2695	0.0975	1	0	1
0.1356	0.0721	45.7797	45.8518	0.0721	0.0	0	0	1
0.1421	0.011	45.9153	45.9264	0.011	0.0	0	0	1
0.3367	0.2467	46.0574	46.3041	0.2467	0.0	1	0	1
0.1798	0.0988	46.3942	46.493	0.0988	0.0	0	0	1
0.0948	0.2236	46.574	46.7977	0.2236	0.0	1	0	3
0.0948	0.0189	46.5902	46.8166	0.2264	0.2074	1	1	2
0.3246	0.2452	46.7446	47.0619	0.3172	0.0719	1	0	2
0.3246	0.0561	46.8395	47.118	0.2785	0.2223	1	1	1
0.1444	0.1755	47.1642	47.3397	0.1755	0.0	0	0	2
0.3251	0.0549	47.2077	47.3947	0.187	0.132	0	0	2
0.3251	0.1976	47.3521	47.5924	0.2402	0.0425	1	0	1
0.2632	0.1135	47.6773	47.7908	0.1135	0.0	0	0	1
0.3703	0.078	47.9405	48.0185	0.078	0.0	0	0	1
0.1268	0.1485	48.3108	48.4593	0.1485	0.0	0	0	2
0.5291	0.2877	48.4259	48.747	0.3211	0.0333	1	0	5
0.5291	0.0947	48.5528	48.8418	0.289	0.1942	1	0	4
0.5291	0.0493	48.588	48.8912	0.3031	0.2537	1	1	3
0.5291	0.1492	48.6021	49.0404	0.4383	0.2891	2	1	2
0.5291	0.029	48.6502	49.0695	0.4192	0.3901	2	1	1
0.0895	0.0053	49.1794	49.1847	0.0053	0.0	0	0	1
0.1681	0.0872	49.2689	49.3561	0.0872	0.0	0	0	1
0.5385	0.0683	49.437	49.5054	0.0683	0.0	0	0	3
0.5385	0.1832	49.4588	49.6886	0.2298	0.0465	1	0	2
0.5385	0.2229	49.473	49.9116	0.4386	0.2156	2	1	1
0.2881	0.0772	50.0116	50.0888	0.0772	0.0	0	0	1
0.1133	0.0406	50.2997	50.3404	0.0406	0.0	0	0	1
0.065	0.0252	50.4131	50.4384	0.0252	0.0	0	0	1
0.4138	0.0279	50.4782	50.5061	0.0279	0.0	0	0	1
0.2526	0.0734	50.8921	50.9655	0.0734	0.0	0	0	1
0.7942	0.023	51.1448	51.1678	0.023	0.0	0	0	1
0.1825	0.0607	51.939	51.9997	0.0607	0.0	0	0	1
0.1263	0.1994	52.1215	52.3209	0.1994	0.0	0	0	4
0.0577	0.1249	52.2058	52.4459	0.2401	0.1151	1	0	4
0.0577	0.0084	52.2089	52.4544	0.2455	0.237	1	1	3
0.3382	0.1229	52.2783	52.5773	0.299	0.1761	1	0	3
0.3382	0.1271	52.4046	52.7044	0.2998	0.1727	1	0	2
0.3382	0.0673	52.4623	52.7718	0.3094	0.242	1	1	1
0.3602	0.3477	52.8006	53.1484	0.3477	0.0	1	0	1
0.0548	0.0445	53.1609	53.2054	0.0445	0.0	0	0	1
0.2854	0.0253	53.2158	53.2411	0.0253	0.0	0	0	1
0.1827	0.0258	53.5012	53.527	0.0258	0.0	0	0	2
0.0999	0.3145	53.5116	53.8416	0.33	0.0154	1	0	4
0.2929	0.1501	53.6943	53.9918	0.2974	0.1472	1	0	4
0.2929	0.0232	53.7481	54.015	0.2668	0.2436	1	1	3
0.2929	0.0359	53.7647	54.051	0.2863	0.2503	1	1	2
0.2929	0.0018	53.8646	54.0529	0.1882	0.1863	0	0	1
0.0886	9.0E-4	54.1575	54.1585	9.0E-4	0.0	0	0	1
0.2495	0.2271	54.2461	54.4733	0.2271	0.0	1	0	1
0.2328	0.1481	54.4957	54.6438	0.1481	0.0	0	0	2
0.2328	0.0643	54.5251	54.7081	0.183	0.1186	0	0	1
0.0795	0.2086	54.758	54.9666	0.2086	0.0	1	0	3
0.2439	0.0748	54.8941	55.0415	0.1474	0.0725	0	0	3
0.4832	0.5842	54.906	55.6257	0.7197	0.1355	3	0	3
0.4832	0.0348	54.9855	55.6606	0.675	0.6402	3	3	2
0.103	0.0884	55.2295	55.749	0.5195	0.4311	2	2	2
0.0154	0.0776	55.7127	55.8266	0.1139	0.0362	0	0	2
0.1056	0.1296	55.8157	55.9563	0.1405	0.0109	0	0	3
0.4192	0.1309	55.8311	56.0872	0.2561	0.1251	1	0	3
0.4192	0.2152	55.8565	56.3025	0.4459	0.2307	2	1	2
0.2824	0.1143	55.9621	56.4168	0.4547	0.3403	2	1	2
0.2824	0.0147	56.3814	56.4316	0.0502	0.0354	0	0	1
0.7319	0.0469	56.6638	56.7108	0.0469	0.0	0	0	1
0.6584	0.083	57.3957	57.4788	0.083	0.0	0	0	1
0.1321	0.0178	58.0541	58.072	0.0178	0.0	0	0	2
0.1009	0.3567	58.0552	58.4287	0.3734	0.0167	1	0	3
0.2236	0.3801	58.1874	58.8088	0.6214	0.2413	3	1	4
0.4526	0.0993	58.4214	58.9082	0.4868	0.3874	2	1	4
0.4526	0.1541	58.5224	59.0623	0.5399	0.3858	2	1	3
0.4526	0.2249	58.6445	59.2873	0.6427	0.4178	3	2	2
0.4865	0.1962	58.8682	59.4835	0.6153	0.419	3	2	3
0.4865	0.0687	59.3209	59.5523	0.2314	0.1626	1	0	2
0.4865	0.0496	59.4019	59.6019	0.2	0.1504	1	0	1
0.123	0.0956	59.8884	59.984	0.0956	0.0	0	0	1
0.1674	0.1275	60.0115	60.139	0.1275	0.0	0	0	2
0.1674	0.0279	60.0787	60.167	0.0882	0.0603	0	0	1
0.1059	0.0083	60.2462	60.2545	0.0083	0.0	0	0	1
0.3375	0.0936	60.3521	60.4458	0.0936	0.0	0	0	1
0.0877	0.0816	60.6897	60.7714	0.0816	0.0	0	0	1
0.1419	0.0117	60.7775	60.7892	0.0117	0.0	0	0	1
0.4089	0.0589	60.9195	60.9784	0.0589	0.0	0	0	1
0.464	0.3402	61.3285	61.6688	0.3402	0.0	1	0	1
0.1719	0.1627	61.7926	61.9553	0.1627	0.0	0	0	2
0.1719	0.0106	61.8432	61.966	0.1227	0.112	0	0	1
0.3631	0.3494	62.0151	62.3646	0.3494	0.0	1	0	1
0.1527	0.0313	62.3783	62.4097	0.0313	0.0	0	0	1
0.0768	0.1213	62.531	62.6523	0.1213	0.0	0	0	2
0.4972	0.089	62.5981	62.7414	0.1433	0.0542	0	0	2
0.4972	0.1936	62.6749	62.9351	0.2601	0.0665	1	0	1
0.1294	0.0514	63.1722	63.2236	0.0514	0.0	0	0	1
0.3733	0.237	63.3016	63.5386	0.237	0.0	1	0	2
0.3733	0.1292	63.3831	63.6679	0.2848	0.1555	1	0	1
0.1005	0.1375	63.7564	63.8939	0.1375	0.0	0	0	2
0.0792	0.0957	63.8242	63.9897	0.1655	0.0697	0	0	2
0.1386	0.0641	63.9247	64.0538	0.1291	0.0649	0	0	2
0.1386	0.0484	64.004	64.1023	0.0983	0.0498	0	0	1
0.0481	0.0313	64.1426	64.1739	0.0313	0.0	0	0	1
0.086	0.1376	64.1907	64.3284	0.1376	0.0	0	0	2
0.086	0.0567	64.3183	64.3852	0.0669	0.0101	0	0	1
0.0119	0.022	64.4043	64.4263	0.022	0.0	0	0	2
0.3447	0.3571	64.4245	64.7835	0.3589	0.0018	1	0	3
0.58	0.1586	64.4365	64.9421	0.5056	0.3469	2	1	3
0.58	0.2122	64.4574	65.1544	0.6969	0.4847	3	2	2
0.58	0.0649	64.8021	65.2193	0.4171	0.3522	2	1	1
0.0972	0.0732	65.3822	65.4554	0.0732	0.0	0	0	1
0.2644	0.2113	65.4795	65.6908	0.2113	0.0	1	0	2
0.2644	0.0562	65.5857	65.7471	0.1614	0.1051	0	0	1
0.1192	0.0078	65.8501	65.8579	0.0078	0.0	0	0	1
0.2821	0.3083	65.9694	66.2777	0.3083	0.0	1	0	5
0.2821	0.0093	66.1057	66.287	0.1812	0.1719	0	0	4
