Lambda: 100.0	Ts: 0.0085	Simulation Time: 100.0
IAT   	Ts     	Arr   	Dep   	Tq     	Tw     	q 	w 	n 
0.011	6.0E-4	2.5655	2.5815	0.016	0.0153	1	1	4
0.011	0.0030	2.5691	2.5846	0.0155	0.0124	1	1	3
0.0317	0.0115	2.5697	2.5962	0.0264	0.0148	2	1	4
0.0317	0.0015	2.576	2.5977	0.0217	0.0201	2	2	3
0.0317	0.0045	2.587	2.6023	0.0152	0.0107	1	1	2
0.0317	0.015	2.5886	2.6174	0.0288	0.0137	2	1	1
0.0047	0.0015	2.6203	2.6219	0.0015	0.0	0	0	1
0.0102	0.0079	2.6251	2.6331	0.0079	0.0	0	0	1
0.0156	0.0343	2.6353	2.6697	0.0343	0.0	3	0	3
0.0156	0.0013	2.6497	2.671	0.0213	0.0199	2	1	2
0.0156	0.0044	2.6665	2.6755	0.0089	0.0045	0	0	1
0.0358	0.0042	2.6822	2.6864	0.0042	0.0	0	0	1
0.0265	0.0091	2.718	2.7272	0.0091	0.0	0	0	1
0.0032	0.0017	2.7445	2.7463	0.0017	0.0	0	0	1
0.0123	0.0074	2.7477	2.7552	0.0074	0.0	0	0	1
0.0267	0.0206	2.7601	2.7807	0.0206	0.0	2	0	2
0.0267	0.0084	2.7655	2.7892	0.0236	0.0152	2	1	1
0.0077	0.0058	2.7923	2.7981	0.0058	0.0	0	0	1
0.017	0.0233	2.8	2.8234	0.0233	0.0	2	0	2
0.0321	0.0124	2.8089	2.8359	0.027	0.0145	2	1	2
0.0321	0.0084	2.8259	2.8443	0.0184	0.0099	1	0	1
0.0047	1.0E-4	2.8581	2.8582	1.0E-4	0.0	0	0	1
0.0146	0.0209	2.8629	2.8838	0.0209	0.0	2	0	8
0.0146	0.0112	2.8651	2.8951	0.03	0.0187	3	1	7
0.0146	0.0012	2.8692	2.8963	0.0271	0.0258	2	2	6
0.0207	0.0051	2.8697	2.9014	0.0317	0.0266	3	2	8
0.0207	0.0032	2.8731	2.9047	0.0316	0.0283	3	2	7
0.0207	0.0066	2.8764	2.9114	0.035	0.0283	3	2	6
0.0207	0.0038	2.8822	2.9152	0.033	0.0292	3	2	5
0.0132	0.0090	2.8836	2.9243	0.0407	0.0316	4	3	5
0.0371	0.0133	2.8982	2.9376	0.0394	0.0261	3	2	5
0.0371	0.0084	2.8986	2.9461	0.0475	0.039	4	3	4
0.0071	0.0268	2.901	2.973	0.0719	0.0451	7	4	4
0.0053	0.0107	2.9217	2.9838	0.062	0.0512	6	5	4
0.0217	0.0084	2.935	2.9922	0.0572	0.0487	5	4	4
0.0217	8.0E-4	2.9721	2.9931	0.0209	0.0201	2	2	3
0.0199	0.0291	2.9793	3.0223	0.043	0.0138	4	1	5
0.0199	2.0E-4	2.9846	3.0225	0.0379	0.0376	3	3	4
0.0199	9.0E-4	3.0064	3.0235	0.0171	0.0161	1	1	3
0.0199	0.0037	3.0141	3.0272	0.013	0.0093	1	0	2
