Time 	Number in Queue
129.5999		0
129.6999		0
129.7999		0
129.8999		1
129.9999		2
130.0999		1
130.1999		1
130.2999		1
130.3999		3
130.4999		2
130.5999		3
130.6999		4
130.7999		4
130.8999		5
130.9999		5
131.0999		5
131.1999		5
131.2999		5
131.3999		5
131.4999		4
131.5999		3
131.6999		2
131.7999		2
131.8999		0
131.9999		0
132.0999		0
132.1999		1
132.2999		1
132.3999		0
132.4999		0
132.5999		1
132.6999		0
132.7999		0
132.8999		1
132.9999		3
133.0999		4
133.1999		4
133.2999		1
133.3999		2
133.4999		2
133.5999		2
133.6999		4
133.7999		3
133.8999		3
133.9999		4
134.0999		3
134.1999		3
134.2999		3
134.3999		3
134.4999		2
134.5999		2
134.6999		2
134.7999		1
134.8999		2
134.9999		2
135.0999		3
135.1999		3
135.2999		4
135.3999		4
135.4999		3
135.5999		3
135.6999		4
135.7999		5
135.8999		4
135.9999		3
136.0999		1
136.1999		1
136.2999		2
136.3999		3
136.4999		2
136.5999		0
136.6999		0
136.7999		0
136.8999		1
136.9999		1
137.0999		4
137.1999		1
137.2999		0
137.3999		0
137.4999		1
137.5999		1
137.6999		2
137.7999		4
137.8999		4
137.9999		5
138.0999		5
138.1999		5
138.2999		3
138.3999		3
138.4999		3
138.5999		4
138.6999		4
138.7999		3
138.8999		3
138.9999		3
139.0999		3
139.1999		2
139.2999		2
139.3999		3
139.4999		3
139.5999		2
139.6999		0
139.7999		0
139.8999		0
139.9999		0
140.0999		0
140.1999		1
140.2999		1
140.3999		1
140.4999		1
140.5999		1
140.6999		2
140.7999		2
140.8999		2
140.9999		1
141.0999		1
141.1999		1
141.2999		2
141.3999		2
141.4999		3
141.5999		3
141.6999		2
141.7999		1
141.8999		1
141.9999		0
142.0999		0
142.1999		0
142.2999		1
142.3999		2
142.4999		2
142.5999		1
142.6999		2
142.7999		0
142.8999		1
142.9999		4
143.0999		4
143.1999		4
143.2999		2
143.3999		2
143.4999		2
143.5999		1
143.6999		2
143.7999		1
143.8999		1
143.9999		1
144.0999		0
144.1999		0
144.2999		0
144.3999		0
144.4999		0
144.5999		0
144.6999		0
144.7999		1
144.8999		1
144.9999		4
145.0999		1
145.1999		1
145.2999		1
145.3999		1
145.4999		1
145.5999		0
145.6999		0
145.7999		1
145.8999		1
145.9999		2
146.0999		1
146.1999		0
146.2999		0
146.3999		0
146.4999		1
146.5999		1
146.6999		2
146.7999		2
